seed_labile,9,gC/m2,"from agricultural notebook, see also Aubinet08: 150 kg ha-1"
DS,leaves,stems,
9,3,,
0,0.82,0.18,
0.25,0.7,0.3,
0.51,0.55,0.45,
0.6,0.5,0.5,
0.72,0.23,0.77,
0.83,0.01,0.99,
0.95,0,1,
1.21,0,0,
2.1,0,0,
DS,root,,
5,2,,
0,0.65,,
0.51,0.55,,
0.72,0.15,,
0.95,0,,
2.1,0,,
DS,loss rate - leaves,,
5,2,,
0,0,,
1,0,,
1.3,0.025,,
1.8,0.025,,
2.5,0.025,,
DS,loss rate - roots,,
5,2,,
0,0,,
1,0,,
1.3,0.01,,
1.8,0.01,,
2.5,0.01,,
temperature preanthesis,DR,,
4,2,,
4,0.01,,
19,1,,
24,1,,
30,0.01,,
temperature postanthesis,DR,,
1,2,,
16,1,,
photoperiod,DR,,
5,2,,
0,0.1,,
11,0.1,,
16,1,,
20,1.2,,
24,1.2,,
DS,LMA ratio,,
5,2,,
0,1,,
0.51,1.05,,
0.6,0.71,,
0.72,1.41,,
2.1,1,,
