seed_labile,10,gC/m2,"from agricultural notebook, see also Aubinet08: 150 kg ha-1"
DS,leaves,stems,
10,3,,
0,0.9,0.1,
0.19,0.83,0.17,
0.26,0.85,0.15,
0.45,0.82,0.18,
0.6,0.32,0.68,
0.86,0.15,0.85,
1,0.26,0.34,
1.26,0,0.27,
1.5,0,0,
2.1,0,0,
DS,root,,
5,2,,
0,0.6,,
0.32,0.5,,
0.6,0.25,,
1,0,,
2.1,0,,
DS,loss rate - leaves,,
5,2,,
0,0,,
1,0.025,(was 0),
1.3,0.025,,
1.8,0.025,,
2.5,0.025,,
DS,loss rate - roots,,
5,2,,
0,0,,
1,0,,
1.3,0.01,,
1.8,0.01,,
2.5,0.01,,
temperature preanthesis,DR,,
5,2,,
-10,0.01,,
0,0.01,,
20,0.9,,
25,1,,
35,1.2,,
temperature postanthesis,DR,,
5,2,,
-10,0.01,,
0,0.01,,
20,0.9,,
25,1,,
35,1.2,,
photoperiod,DR,,
5,2,,
0,0.1,,
11,0.1,,
16,1,,
20,1.2,,
24,1.2,,
DS,LMA ratio,,
5,2,,
0,1,,
0.51,1.05,,
0.6,0.71,,
0.72,1.41,,
2.1,1,,
