seed_labile,100,gC/m2,
DS,leaves,stems,from Penning de Vries 1989
6,3,,
0,0.7,0.3,
0.35,0.36,0.32,
0.52,0.08,0.23,
0.7,0.07,0.2,
0.86,0.05,0.05,
1.1,0,0,
DS,root,,from Penning de Vries 1989
4,2,,
0,0.4,,
0.35,0.1,,
0.52,0,,
1.1,0,,
DS,loss rate - leaves,,Set to zero on Mat's advice
5,2,,
0,0,,
1,0,,
1.3,0,,
1.8,0,,
2.5,0,,
DS,loss rate - roots,,Set to zero on Mat's advice
5,2,,
0,0,,
1,0,,
1.3,0,,
1.8,0,,
2.5,0,,
temperature preanthesis,DR,,from Penning de Vries 1989
4,2,,
0,0.01,,
5,0.5,,
20,1,,
25,0.5,,
temperature postanthesis,DR,,"No info for sugar beet, left as potato values from Penning de Vries 1989"
4,2,,
0,0,,
20,0.9,,
23,1,,
32,1.2,,
photoperiod,DR,,from Penning de Vries 1989
3,2,,
12,1,,
16,1,,
24,10,,
DS,LCA ratio,,from Penning de Vries 1989
6,2,,
0,1,,
0.35,1.1,,
0.52,1.2,,
0.7,1.2,,
0.86,1.3,,
1.1,1.3,,
