seed_labile,40,gC/m2,
DS,leaves,stems,Cuadra et al.
10,3,,
0,0.7,0.1,
0.23,0.78,0.2,
0.61,0.42,0.39,
0.81,0.27,0.54,
1.01,0.16,0.65,
1.2,0.1,0.71,
1.4,0.09,0.72,
1.59,0.09,0.72,
1.8,0.09,0.71,
2.01,0.09,0.71,
DS,root,,Cuadra et al.
10,2,,
0,0.2,,
0.23,0.02,,
0.42,0.19,,
0.61,0.19,,
1.01,0.19,,
1.2,0.19,,
1.4,0.19,,
1.59,0.19,,
1.8,0.2,,
2.01,0.2,,
DS,loss rate - leaves,,
5,2,,
0,0,,
1,0,,
1.3,0.025,,
1.8,0.025,,
2.5,0.025,,
DS,loss rate - roots,,
5,2,,
0,0,,
1,0,,
1.3,0.00625,,
1.8,0.00625,,
2.5,0.00625,,
temperature preanthesis,DR,,Penning de Vries Tab;e 13
6,2,,
10,0.01,,
19,0.01,,
23,1,,
27,1,,
32,0.01,,
50,0.01,,
temperature postanthesis,DR,,
6,2,,
10,0.01,,
19,0.01,,
23,1,,
27,1,,
32,0.01,,
50,0.01,,
photoperiod,DR,,
7,2,,
0,0.1,,Penning de Vries p78
11.5,0.1,,
12,0.5,,
12.5,1,,
13.5,0.5,,
14,0.1,,
24,0.1,,
DS,LCA ratio,,Penning de Vires p 102 left as maize no data for sugarcane
5,2,,
0,0.5,,
0.5,0.9,,
1,1,,
1.5,1.1,,
2.1,1.2,,
