seed_labile,100,gC/m2,left same as for wheat
DS,leaves,stems,from Penning de Vries 1989
7,3,,
0,0.77,0.16,
0.37,0.67,0.15,
0.83,0.39,0.16,
1.14,0.1,0.15,
1.35,0,0.02,
1.57,0,0,
2.1,0,0,
DS,root,,from Penning de Vries 1989
3,2,,
0,0.5,,
1,0,,
2.1,0,,
DS,loss rate - leaves,,Set to zero for potatoes on Mat's advice
5,2,,
0,0,,
1,0,,
1.3,0,,
1.8,0,,
2.5,0,,
DS,loss rate - roots,,Set to zero for potatoes on Mat's advice
5,2,,
0,0,,
1,0,,
1.3,0,,
1.8,0,,
2.5,0,,
temperature preanthesis,DR,,from Penning de Vries 1989
3,2,,
7,0.01,,
18,1,,
29,0.01,,
temperature postanthesis,DR,,from Penning de Vries 1989
3,2,,
7,0,,
18,1,,
29,0,,
photoperiod,DR,,"Photoperiod response listed as 'almost none' for potato in Penning de Vries 1989, hence multiplication factor set to 1 everywhere"
8,2,,
10,1,,
11,1,,
12,1,,
13,1,,
14,1,,
15,1,,
16,1,,
17,1,,
DS,LCA ratio,,from Penning de Vries 1989
5,2,,
0,1.2,,
0.07,1.2,,
0.9,0.83,,
1,1,,
2.1,1,,
