date,DOY,obs_lai,obs_nee,minT,maxT,ssrd,CO2,21d_minT,21d_DayLength,21d_vpd,removalinput
01/01/2002,1,,1.430338176,-2.258392334,1.901794434,1.214215,372.2,275.6247896,25708.05224,84.30087417,2.8
02/01/2002,2,,1.195557408,-4.013519287,1.148773193,1.2136695,372.2,275.6247896,25708.05224,84.30087417,2.8
03/01/2002,3,,1.787244696,0.472259521,2.696868896,1.1269205,372.2,275.6247896,25708.05224,84.30087417,2.8
04/01/2002,4,,0.004232736,-1.108825684,1.406005859,1.158292,372.2,275.6247896,25708.05224,84.30087417,2.8
05/01/2002,5,,2.137029696,-0.19909668,6.604736328,1.1585645,372.2,275.6247896,25708.05224,84.30087417,2.8
06/01/2002,6,,1.307898792,2.050537109,5.965484619,0.689901,372.2,275.6247896,25708.05224,84.30087417,2.8
07/01/2002,7,,2.179736784,4.891571045,7.231567383,0.818115,372.2,275.6247896,25708.05224,84.30087417,2.8
08/01/2002,8,,1.936340856,4.502471924,7.166748047,0.8175695,372.2771429,275.6247896,25708.05224,84.30087417,2.8
09/01/2002,9,,2.0697444,1.955749512,6.241333008,0.514493,372.3542857,275.6247896,25708.05224,84.30087417,2.8
10/01/2002,10,,2.296355616,-0.503997803,2.710662842,1.2537705,372.4314286,275.6247896,25708.05224,84.30087417,2.8
11/01/2002,11,,1.835272728,-0.53793335,7.247406006,1.2540435,372.5085714,275.6247896,25708.05224,84.30087417,2.8
12/01/2002,12,,2.235682944,6.312072754,8.341766357,1.0450815,372.5857143,275.6247896,25708.05224,84.30087417,2.8
13/01/2002,13,,2.817084096,6.2215271,9.482330322,1.0450815,372.6628571,275.6247896,25708.05224,84.30087417,2.8
14/01/2002,14,,2.912539248,6.029815674,9.443023682,0.409194,372.74,275.6247896,25708.05224,84.30087417,2.8
15/01/2002,15,,2.743286184,3.688232422,6.094451904,1.5213835,372.7171429,275.6247896,25708.05224,84.30087417,0
16/01/2002,16,,2.730946104,3.99029541,8.489349365,1.5216565,372.6942857,275.6247896,25708.05224,84.30087417,0
17/01/2002,17,,2.246137992,3.956359863,8.330047607,0.976064,372.6714286,275.6247896,25708.05224,84.30087417,0
18/01/2002,18,,2.30415624,2.231628418,6.09375,0.976064,372.6485714,275.6247896,25708.05224,84.30087417,0
19/01/2002,19,,2.267928504,4.220916748,6.957092285,1.4586405,372.6257143,275.6247896,25708.05224,84.30087417,0
20/01/2002,20,,2.711539584,4.365936279,9.011352539,1.458913,372.6028571,275.6247896,25708.05224,84.30087417,0
21/01/2002,21,,3.410315352,5.702972412,10.59255981,1.0666325,372.58,275.6247896,25708.05224,84.30087417,0
22/01/2002,22,,2.527746696,5.336547852,8.751373291,1.088729,372.6142857,275.9864534,25850.0353,88.93520782,0
23/01/2002,23,,2.972529576,5.391723633,7.795623779,1.088729,372.6485714,276.4343221,25997.72572,87.13452866,0
24/01/2002,24,,-0.006121008,0.155334473,7.63772583,1.7300725,372.6828571,276.4192304,26150.98571,82.42553992,0
25/01/2002,25,,-0.776327976,-2.871734619,8.525909424,1.729527,372.7171429,276.3352824,26309.67565,78.85426104,0
26/01/2002,26,,-4.6299114,5.754638672,8.316253662,0.9021365,372.7514286,276.6187936,26473.6544,80.45051838,0
27/01/2002,27,,-4.981808664,3.42578125,9.492675781,1.0306235,372.7857143,276.6842814,26642.77977,81.35187104,0
28/01/2002,28,,-4.69190556,5.020324707,10.21261597,1.0693605,372.82,276.6904125,26816.90884,91.27916127,0
29/01/2002,29,,-5.708822112,3.814849854,8.774139404,1.0690875,372.8385714,276.6576686,26995.89839,94.34819966,0
30/01/2002,30,,-6.938666064,5.265808105,8.583129883,1.674422,372.8571429,276.8152905,27179.60515,98.03361602,0
31/01/2002,31,,-6.70713696,4.598693848,8.096282959,1.674422,372.8757143,277.0582758,27367.88622,101.108886,1.8
01/02/2002,32,,-2.03955516,4.191223145,10.06777954,0.471391,372.8942857,277.2834737,27560.59929,104.6155844,1.8
02/02/2002,33,,-6.34860612,6.812225342,9.635437012,2.2669355,372.9128571,277.3072905,27757.60299,107.6591621,1.8
03/02/2002,34,,-2.602760256,3.680450439,7.011566162,2.2669355,372.9314286,277.1862869,27958.75714,108.5078036,1.8
04/02/2002,35,,-3.287364048,2.212524414,8.045257568,1.354705,372.95,277.0045111,28163.92295,107.9274661,1.8
05/02/2002,36,,-5.262923592,4.278930664,8.208007813,2.034513,372.9571429,277.0326396,28372.9633,108.3334033,1.8
06/02/2002,37,,-2.069971416,2.721893311,5.87789917,2.2974885,372.9642857,276.9722395,28585.74293,109.0718981,1.8
07/02/2002,38,,-2.617332912,0.992218018,9.415466309,2.2974885,372.9714286,276.8310899,28802.12862,111.5214012,1.7
08/02/2002,39,,-1.416489768,5.499969482,9.658172607,1.9428535,372.9785714,276.9867251,29021.98935,112.4920393,1.7
09/02/2002,40,,-2.608950816,4.02142334,9.476837158,1.8132755,372.9857143,276.9772255,29245.19647,111.2641889,1.7
10/02/2002,41,,-0.654086232,3.710174561,8.209381104,1.8132755,372.9928571,276.9459987,29471.62379,109.2775777,1.7
11/02/2002,42,,-2.071043208,6.836273193,10.15881348,2.3910575,373,276.9999654,29701.14776,112.1434508,1.7
12/02/2002,43,,-1.036525032,5.36907959,7.725280762,2.3910575,373.0114286,277.0015145,29933.6475,109.4036349,1.7
13/02/2002,44,,1.115644536,1.07711792,5.264190674,3.4885165,373.0228571,276.7960571,30169.00493,111.5903662,1.7
14/02/2002,45,,-0.539676216,-2.00869751,3.805023193,3.4885165,373.0342857,276.693008,30407.10482,111.5972043,0
15/02/2002,46,,-0.007653744,1.904815674,7.68737793,3.786137,373.0457143,276.9204628,30647.83484,113.2904191,0
16/02/2002,47,,-0.446210208,3.654266357,7.859069824,3.786137,373.0571429,276.820445,30891.0856,116.6855549,0
17/02/2002,48,,0.308129832,3.091156006,6.781951904,3.0665005,373.0685714,276.8045105,31136.75069,120.4912331,0
18/02/2002,49,,0.240475392,1.440734863,5.437255859,3.026127,373.08,276.6340538,31384.72671,115.7016394,0
19/02/2002,50,,1.51670988,2.214660645,7.685974121,2.8526285,373.1742857,276.5578544,31634.91324,116.5077071,0
20/02/2002,51,,1.276500168,2.214660645,7.881835938,3.4132245,373.2685714,276.4125616,31887.21286,118.2731392,0
21/02/2002,52,,1.634602248,-0.271240234,9.187194824,3.412952,373.3628571,276.18066,32141.53114,117.3522887,0
22/02/2002,53,,-0.245050704,-0.139648438,9.231323242,3.3559375,373.4571429,275.974428,32397.77663,117.1448677,0
23/02/2002,54,,0.235848672,-0.528045654,3.067871094,3.4707845,373.5514286,275.6248913,32655.86081,112.9663409,0
24/02/2002,55,,0.775552104,-3.900360107,2.400360107,3.4707845,373.6457143,275.2639003,32915.69806,110.0799288,0
25/02/2002,56,,2.185891056,-1.504272461,7.93560791,1.9431265,373.74,275.08691,33177.20565,108.9460616,0
26/02/2002,57,,0.658522224,2.294586182,5.543457031,2.620479,373.76,274.9924174,33440.30365,108.3784815,0
27/02/2002,58,,-0.15960132,1.919677734,5.204193115,3.5286175,373.78,274.9542167,33704.91492,111.9056011,0
28/02/2002,59,,-0.016514712,0.56918335,3.528503418,3.5286175,373.8,274.9340721,33970.96504,112.1621744,0
01/03/2002,60,,-0.6442416,-0.65536499,4.545654297,4.58352,373.82,274.640961,34238.38222,114.6662529,0
02/03/2002,61,,-0.65375856,-0.397155762,6.401977539,4.58352,373.84,274.4305525,34507.0973,116.9130191,0
03/03/2002,62,,0.613377576,4.271148682,8.922393799,2.410699,373.86,274.4572655,34777.04364,118.0954049,0
04/03/2002,63,,-0.520880328,4.394958496,8.571411133,3.4882435,373.88,274.3410124,35048.15705,119.1465995,0
05/03/2002,64,,-0.655540128,2.399291992,7.707366943,3.7945935,373.9157143,274.199594,35320.37574,120.38075,0
06/03/2002,65,,-1.188183384,6.046081543,9.112731934,2.863813,373.9514286,274.4362113,35593.64025,120.8010581,0
07/03/2002,66,,-1.318408704,5.116516113,8.255584717,4.821398,373.9871429,274.7755072,35867.89334,127.9332653,0
08/03/2002,67,,-1.410948936,4.36807251,9.741607666,4.821398,374.0228571,274.8928051,36143.07996,129.2745579,0
09/03/2002,68,,-1.757301048,1.701080322,5.04006958,4.065753,374.0585714,274.7997963,36419.14715,129.5293877,0
10/03/2002,69,,-1.54062756,0.656890869,7.498413086,4.065753,374.0942857,274.6838789,36696.04393,129.2868213,0
11/03/2002,70,,-1.943611848,3.013336182,7.407409668,5.873027,374.13,274.7587646,36973.72129,138.6151141,0
12/03/2002,71,,-1.9653408,1.224975586,6.112365723,5.873027,374.2028571,274.7116368,37252.13206,143.4151942,0
13/03/2002,72,,-1.712812608,-2.428192139,6.827453613,6.0743505,374.2757143,274.4905486,37531.23083,144.7485137,0
14/03/2002,73,,-1.905184584,-0.159454346,5.621398926,6.0743505,374.3485714,274.4958717,37810.9739,147.9397024,0
15/03/2002,74,,-2.179567872,1.980499268,4.804931641,5.1607565,374.4214286,274.5968311,38091.31916,150.4137337,0
16/03/2002,75,,-1.91608848,3.031036377,9.439575195,4.2629845,374.4942857,274.7663112,38372.22604,148.2780308,0
17/03/2002,76,,-1.5690186,1.57019043,10.46221924,5.404909,374.5671429,275.0268136,38653.65541,151.4898329,0
18/03/2002,77,,-2.314465272,5.673980713,9.97744751,5.631875,374.64,275.3686352,38935.56951,157.8549819,0
19/03/2002,78,,-2.21188104,2.328552246,6.653686523,5.631875,374.5885714,275.3702526,39217.93186,157.7743828,0
20/03/2002,79,,-1.884755304,1.450653076,8.319030762,4.4209335,374.5371429,275.3479181,39500.70717,154.1044693,0
21/03/2002,80,,-1.669076712,5.093170166,7.694946289,4.310451,374.4857143,275.5633461,39783.8613,150.4679295,0
22/03/2002,81,,-1.844443872,5.291259766,9.286499023,4.6320775,374.4342857,275.8465187,40067.36112,149.4833663,0
23/03/2002,82,,-1.924027776,2.731781006,9.74230957,6.3714255,374.3828571,275.9955157,40351.17446,152.9459575,0
24/03/2002,83,,-1.627397784,6.155029297,10.26776123,6.3714255,374.3314286,276.0852243,40635.27005,155.6914315,0
25/03/2002,84,,-1.86440184,5.067718506,10.27328491,5.300428,374.28,276.1172605,40919.61739,156.6957112,0
26/03/2002,85,,-1.51169112,-0.35824585,9.702331543,7.6813925,374.2771429,275.9859491,41204.18671,164.0100699,0
27/03/2002,86,,-0.908000712,3.781616211,11.08355713,8.20407,374.2742857,275.8781174,41488.94888,171.4110345,0
28/03/2002,87,,-1.323316872,4.104919434,12.05929565,8.678735,374.2714286,275.8299462,41773.87531,171.8016668,0
29/03/2002,88,,-1.855037808,0.350585938,11.50488281,8.678735,374.2685714,275.6386373,42058.9379,177.1667842,0
30/03/2002,89,,-1.929876192,1.40322876,10.8414917,8.642726,374.2657143,275.6244539,42344.10895,183.7646257,0
31/03/2002,90,,-1.675975536,6.830627441,11.40628052,7.199362,374.2628571,275.9184413,42629.36105,183.7838395,0
01/04/2002,91,,-0.85512996,5.13067627,10.46429443,3.9751845,374.26,276.0192671,42914.66707,172.3361655,0
02/04/2002,92,,-0.09077508,0.445373535,10.74841309,6.579842,374.2985714,275.9821431,43200,171.6567199,0
03/04/2002,93,,-0.880623792,8.420227051,14.4597168,7.472158,374.3371429,276.4987345,43485.33293,177.4933644,0
04/04/2002,94,,-1.882891656,2.116333008,12.53164673,8.278816,374.3757143,276.6071054,43770.63895,179.1512486,0
05/04/2002,95,,-3.489507432,3.488739014,9.868499756,9.592056,374.4142857,276.6789263,44055.89105,181.8561298,0
06/04/2002,96,,-3.86115876,3.674072266,9.243743896,9.886404,374.4528571,276.7095471,44341.0621,191.3704843,0
07/04/2002,97,,-7.269127056,-0.989990234,11.43453979,10.015163,374.4914286,276.5876337,44626.12469,197.0125734,0
08/04/2002,98,,-2.66714748,0.304595947,10.25604248,10.015163,374.53,276.3319487,44911.05112,199.2619616,0
09/04/2002,99,,-2.87787816,3.577880859,10.83529663,8.1579675,374.63,276.3914405,45195.81329,207.9877823,0
10/04/2002,100,,-3.493269288,4.826477051,10.11538696,7.509258,374.73,276.5521941,45480.38261,218.2806722,0
11/04/2002,101,,-1.26279216,2.230224609,8.854827881,7.509258,374.83,276.4158633,45764.72995,225.5506501,0
12/04/2002,102,,-4.610421936,4.087921143,8.929290771,8.663731,374.93,276.3585615,46048.82554,231.6611637,0
13/04/2002,103,,-3.79133676,-0.355438232,8.771392822,8.663731,375.03,276.211551,46332.63888,235.3229098,0
14/04/2002,104,,-0.809369064,2.443145752,7.93838501,8.433491,375.13,276.0347947,46616.1387,233.0411014,0
15/04/2002,105,,-2.725553016,2.4190979,8.762420654,7.283656,375.23,275.9086699,46899.29283,231.9966322,0
