,parameter_number,min_value,max_value
1,P1,0.0048284642,0.09913392
2,P2,0.438782,0.4744052
3,P3,0.7563942,0.97869354
4,P4,0.12021048,0.79118645
5,P5,0.21490622,1.0945543
6,P6,0.004002028,0.09626551
7,P7,0.029380219,0.09907495
8,P8,8.077301e-06,4.631822e-05
9,P9,0.011948892,0.11626055
10,P10,12.785458,24.471016
11,P11,0.40897733,0.8265433
12,P12,231.95334,268.1231
13,P13,257.12064,296.1072
14,P14,4705.556,19405.531
15,P15,30.467823,40.943596
16,P16,1.4928474,9.12488
17,P17,1.6325116,18.110882
18,P18,130.92226,284.11316
19,P19,1139.8718,3757.0703
20,P20,27918.752,39665.78
21,P21,544.06445,2423.2522
22,P22,1573.2532,4880.5547
23,P23,0.10218909,0.41284516
24,P24,0.9839536,0.9991868
25,P25,0.56966573,2.989124
26,P26,1.1536227,1.7870827
27,P27,646.4596,1252.4501
28,P28,2341.7974,3934.6543
29,P29,0.30159324,0.4746788
30,P30,23907.186,24069.668
31,P31,0.015506064,0.09365155
32,P32,0.013505111,0.11662711
33,P33,0.29772958,0.70292693
34,P34,6.7335944,22.73643
