date,timestep,tmn,tmx,dswr,co2,doy,LAI
2000-01-31,31,-11.24664306640625,-0.046661376953125,6.60127592086792,385.0,31,-9999.0
2000-02-29,60,-7.840942382812499,2.959014892578125,9.560231208801268,385.0,60,-9999.0
2000-03-31,91,-1.579345703125,11.44561767578125,12.92142868041992,385.0,91,1.4606299
2000-04-30,121,2.03155517578125,13.631561279296875,13.508577346801756,385.0,121,1.4330709
2000-05-31,152,7.57342529296875,21.698394775390625,17.116825103759762,385.0,152,3.3897638
2000-06-30,182,12.373229980468752,25.54824829101562,17.572467803955078,385.0,182,5.125984
2000-07-31,213,13.207336425781252,26.357360839843746,18.603931427001957,385.0,213,5.7598424
2000-08-31,244,13.695526123046877,26.620544433593754,17.24425506591797,385.0,244,5.4015746
2000-09-30,274,8.6934814453125,22.6435546875,14.564523696899414,385.0,274,4.7952757
2000-10-31,305,3.746307373046875,17.2213134765625,10.36959171295166,385.0,305,1.5984251
2000-11-30,335,-0.96331787109375,8.5616455078125,7.062294960021973,385.0,335,1.0472441
2000-12-31,366,-9.6966552734375,0.30334472656249994,5.931429386138916,385.0,366,1.1299213
2001-01-31,397,-11.20751953125,0.7674560546875,6.616502285003662,385.0,31,1.2401575
2001-02-28,425,-9.2635498046875,1.261474609375,9.757432937622069,385.0,59,1.7362205
2001-03-31,456,-5.0126953125,4.01226806640625,12.943960189819338,385.0,90,-9999.0
2001-04-30,486,1.2738037109375,15.773773193359377,18.096044540405277,385.0,120,1.7086614
2001-05-31,517,7.115905761718751,22.5408935546875,18.924177169799805,385.0,151,4.5748034
2001-06-30,547,13.03900146484375,26.864013671875,20.84453010559082,385.0,181,5.7047243
2001-07-31,578,12.246612548828125,27.17166137695312,21.59800720214844,385.0,212,6.0905514
2001-08-31,609,15.618133544921875,29.893127441406246,18.472446441650394,385.0,243,5.8149605
2001-09-30,639,9.6961669921875,24.3961181640625,16.380592346191406,385.0,273,5.3188977
2001-10-31,670,4.031982421875,19.1820068359375,11.930518150329588,385.0,304,2.7559056
2001-11-30,700,0.01690673828125,12.616912841796877,7.45975685119629,385.0,334,1.2125984
2001-12-31,731,-3.8187255859375,5.88128662109375,5.709523677825927,385.0,365,1.1850394
2002-01-31,762,-5.28076171875,4.61932373046875,6.130871772766113,385.0,31,-9999.0
2002-02-28,790,-6.449493408203125,6.275482177734375,9.580394744873047,385.0,59,1.1023622
2002-03-31,821,-3.785369873046875,8.114654541015625,12.011194229125975,385.0,90,1.3779528
