"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
31,-11.1079032258065,-5.60129032258065,-8.22906922043011,374.114863575269,0.722604716129032,0.0317112231182796,2.99432497013142e-06,3.4980752688172
59,-11.48425,-6.05571428571429,-8.81662276785714,373.646349702381,2.24305450714286,0.0228228422619048,0,3.53890327380952
90,-5.04225806451613,0.426967741935484,-2.30248655913978,375.091299731183,6.0277302,0.0981146505376344,2.94429510155317e-06,3.87560954301075
120,0.976666666666667,8.19456666666667,4.57423263888889,372.334641666667,12.1127964,0.295701319444444,1.19066358024691e-05,3.82606875
151,2.0841935483871,10.6796451612903,6.67250806451613,370.921858198925,18.6646230580645,0.47522002688172,1.06705495818399e-05,3.61482594086022
181,12.3051333333333,21.4054333333333,17.0270916666667,365.76444375,21.75741594,0.812990555555556,1.08680555555556e-05,3.38849375
212,12.2058064516129,20.2033870967742,16.4309845430108,363.914379032258,19.4413326967742,0.679513440860215,2.701986260454e-05,3.56885685483871
243,9.35903225806452,16.9706451612903,13.2962325268817,364.314331317204,14.2630137870968,0.50038938172043,1.99559438470729e-05,3.15123521505376
273,6.935,15.2424666666667,11.2864993055556,370.121845833333,10.46464314,0.368508680555556,1.62577160493827e-05,3.35414305555556
304,3.1628064516129,6.83935483870968,5.00678427419355,375.176147177419,2.48273233548387,0.0844649865591398,5.28300477897252e-05,3.47291801075269
334,-1.32106666666667,2.6349,0.770688888888889,377.129635416667,0.98124312,0.0681563194444444,1.01010802469136e-05,4.07116597222222
365,-6.89612903225806,-2.16354838709677,-4.46674462365591,376.398706317204,0.36435675483871,0.0425014112903226,7.55675029868578e-06,3.99029771505376
31,-7.04722580645161,-1.86338709677419,-4.29253427419355,377.265454301075,0.734165419354839,0.0466899193548387,4.52471624850657e-06,4.47747177419355
60,-6.31513793103448,-1.85448275862069,-3.82703735632184,378.168688936782,2.3556924,0.0505698994252874,5.04030970625798e-06,3.69618893678161
91,-5.90677419354839,1.0258064516129,-2.30677822580645,376.684808467742,8.42157412258064,0.136230981182796,1.20172491039427e-05,4.30372379032258
121,0.697,8.11766666666667,4.42207083333333,378.924272916667,11.77688682,0.255930277777778,1.97839506172839e-05,3.54678541666667
152,4.95322580645161,13.7662258064516,9.56033602150538,376.398514112903,19.0720807548387,0.535622177419355,3.06686827956989e-05,4.40372043010753
182,8.6278,16.6567333333333,13.0331659722222,373.414021527778,18.19250346,0.582152638888889,2.06130401234568e-05,4.21449166666667
213,11.9809677419355,18.9929032258065,15.4015510752688,370.461146505376,15.5606671741935,0.455387163978495,3.93615591397849e-05,3.38239516129032
244,10.0112903225806,17.1116774193548,13.4891196236559,372.612815860215,14.2887917032258,0.344434946236559,3.0754554958184e-05,2.99877352150538
274,5.11466666666667,12.5263333333333,8.75985,372.356859027778,10.24690356,0.281490694444444,4.4483024691358e-06,3.33363541666667
305,5.23283870967742,9.15141935483871,7.18793077956989,383.589928091398,2.45291376774194,0.107698521505376,2.43469982078853e-05,3.84162970430108
335,1.18546666666667,3.5884,2.43675069444444,387.348803472222,0.49233672,0.0321030555555556,4.31238425925926e-05,3.62398333333333
366,-2.47416129032258,1.23474193548387,-0.522844086021505,386.784531586022,0.215740509677419,0.0302127688172043,1.47647849462366e-05,3.3372251344086
31,-5.1431935483871,-1.73441935483871,-3.27442271505376,384.094380376344,0.539804496774194,0.0281735215053763,4.19653524492234e-06,2.96025806451613
59,-13.1439285714286,-6.2125,-9.57882961309524,382.510033482143,2.54877968571429,0.0470308035714286,1.72767857142857e-05,4.07578050595238
90,-9.06806451612903,-1.82774193548387,-5.1429623655914,383.369139784946,7.34370224516129,0.0922985887096774,1.0003733572282e-05,3.43177284946237
120,1.17293333333333,7.36133333333333,4.33102083333333,380.555961805556,9.88993716,0.215890833333333,2.01724537037037e-05,3.61870416666667
151,3.43354838709677,11.4906451612903,7.74309543010753,377.985935483871,16.3257234387097,0.446419758064516,1.52490292712067e-05,3.69213575268817
181,9.36666666666667,16.519,13.1929194444444,372.836068055556,16.81171122,0.5747075,2.79293981481481e-05,3.43154652777778
212,13.8325806451613,21.7826129032258,17.9925840053763,370.875787634409,18.5344207548387,0.654007728494624,2.37828554360812e-05,3.58710483870968
243,11.0151612903226,18.6535483870968,14.7764912634409,369.394086021505,15.124411683871,0.5002,1.81712962962963e-05,3.47698185483871
273,7.47073333333333,13.6353333333333,10.3668090277778,374.681374305556,6.70795758,0.232858680555556,6.08792438271605e-05,3.71764513888889
304,3.93170967741935,8.04132258064516,6.00371774193548,379.379538306452,2.52234766451613,0.101084139784946,2.58512544802867e-05,3.54077822580645
334,-4.03753333333333,0.0347666666666667,-1.87485763888889,380.447723611111,1.19698692,0.0792052777777778,4.9483024691358e-06,4.14401736111111
365,-11.2061290322581,-6.75667741935484,-9.03094018817204,383.549272177419,0.334302619354839,0.0270834677419355,3.81048387096774e-06,3.09678897849462
31,-7.76645161290323,-3.08483870967742,-5.43676008064516,382.940164650538,0.606609116129032,0.0312327956989247,1.4906660692951e-05,3.83214045698925
59,-5.07410714285714,-0.0255,-2.37406919642857,381.31193452381,2.54104283571429,0.0734373511904762,2.50744047619048e-06,4.33103348214286
90,-4.78322580645161,2.62158064516129,-0.965516801075269,381.615856182796,7.54389121935484,0.156720497311828,2.01986260454002e-06,3.80140591397849
120,0.683333333333333,8.973,5.04624791666667,381.37068125,13.63870338,0.423079027777778,7.71604938271605e-08,3.32545694444444
151,6.03096774193548,15.8103225806452,11.222373655914,376.594398521505,19.4496248322581,0.659384139784946,1.59610215053763e-05,3.43169825268817
181,10.935,18.6992666666667,14.9425861111111,371.085143055556,18.0177939,0.612034444444444,3.20524691358025e-05,3.37008541666667
212,13.7341935483871,21.1512903225806,17.6742674731183,370.176748655914,17.0076128516129,0.618185349462366,2.66278375149343e-05,3.19965188172043
243,13.2906129032258,22.0313548387097,17.678374327957,365.911748655914,16.0579343032258,0.74300436827957,2.14915621266428e-05,2.61254166666667
273,5.87663333333333,12.7642333333333,9.30631875,368.780329861111,9.59953386,0.341252083333333,5.24228395061728e-06,3.52157847222222
304,-3.04851612903226,1.5958064516129,-0.596032258064516,371.913491263441,3.70754210322581,0.131940927419355,1.15479390681004e-06,3.21715927419355
334,-7.58816666666667,-2.89053333333333,-5.00761041666667,379.736392361111,0.88503642,0.0302672222222222,1.80864197530864e-06,3.14446805555556
365,-12.158935483871,-7.38141935483871,-9.51636693548387,381.053386424731,0.525669038709677,0.0221362903225806,3.18473715651135e-07,3.37069018817204
31,-15.42,-7.15632258064516,-11.4344899193548,382.623688844086,0.90251384516129,0.0309597446236559,9.39142771804062e-06,3.67766532258065
59,-9.71089285714286,-3.28378571428571,-6.31394270833333,383.910382440476,2.8370187,0.0569796130952381,5.09259259259259e-07,3.34066294642857
90,-4.23470967741935,2.36016129032258,-0.855569892473118,380.525172043011,7.46664851612903,0.178818279569892,2.46789127837515e-06,4.27252284946237
120,-2.218,6.12383333333333,1.96720347222222,381.928233333333,13.36314132,0.327921736111111,1.65509259259259e-06,3.96501527777778
151,5.38387096774194,13.3164516129032,9.42662836021505,377.266909274194,14.5584264774194,0.411109811827957,3.77815113500597e-05,3.77431518817204
181,8.07833333333333,15.6294333333333,12.1576951388889,370.969705555556,17.14812378,0.528223888888889,2.04618055555556e-05,3.27713958333333
212,15.4675161290323,23.1396774193548,19.2063790322581,372.103740591398,17.2965317806452,0.661020564516129,2.46240292712067e-05,2.72710887096774
243,12.2893225806452,18.3503225806452,15.0370362903226,370.084891129032,12.6660266709677,0.380684610215054,1.98103345280765e-05,3.18146370967742
273,7.936,14.9874333333333,11.4298458333333,371.4650125,8.84444004,0.364328680555556,7.91743827160494e-06,3.62164722222222
304,-0.16258064516129,4.14870967741935,1.95541935483871,376.709251344086,2.89073659354839,0.0912051747311828,3.92977150537634e-05,3.39954771505376
334,-0.7868,2.05653333333333,0.744111111111111,385.168027777778,0.59980932,0.0416863888888889,9.81867283950617e-06,3.247875
365,-6.12109677419355,-0.685483870967742,-3.21203427419355,380.999855510753,0.384671032258064,0.0494653897849462,7.55002986857826e-06,4.50780913978495
