"run_day","mint_C","maxt_C","swrad_MJm2day","co2_ppm","doy","precip_kgm2s","deforestation_fraction","burnt_area_fraction","mint_21day","dayl_21day","vpd_21day","management_type","avgTemp_C","wind_spd_ms","vpd_Pa"
31,21.2554427608367,29.8554409888483,17.0735741034352,370.59,31,9.37126301692865e-05,0.000195538463291026,0,21.6081273326493,43758.2521907596,439.928138159599,2,25.5554418748425,0.881381029563565,456.841869146272
59,21.4061291924838,29.711433358028,17.0061626082858,371.478275862069,59,0.000101394577458944,0.000176615386198346,0,21.2453141336175,43601.8542087828,351.780893080381,2,25.558781275256,0.869341507040221,383.445895013285
90,21.8882223129273,30.2570768356323,16.4532879864481,372.40125,90,7.6871842508298e-05,0.000195538463291026,0,21.7535518282936,43354.6571697198,367.213522442236,2,26.0726495742798,0.902122458850499,350.450027286209
120,21.836091859879,30.0819404848161,15.9163552028629,373.339677419355,120,9.82689686169772e-05,0.0001892307709268,0,21.8527428786692,43072.6411441706,304.926106983683,2,25.9590161723476,0.872890805224738,343.185880397991
151,22.7327075958252,30.8332935333252,16.7447438911607,373.835,151,8.18118634987422e-05,0.000195538463291026,0,22.4996616545178,42813.6495945508,338.704090155106,2,26.7830005645752,0.914939187641721,287.034159859142
181,20.8948470577117,30.1963430097026,17.0426793373144,373.240322580645,181,7.17827771812707e-05,0.0001892307709268,0,21.502332593036,42643.5395060741,323.162812681361,2,25.5455950337072,0.84398897674175,376.529147667322
212,21.3538967132569,31.393478012085,18.3039389511343,371.5634375,212,2.61842842018042e-05,0.000195538463291026,0,21.1642580758958,42636.5990642734,427.624118947652,2,26.3736873626709,0.959384768735617,336.232172460162
243,22.9228120803833,32.1400743484497,19.7818530375043,369.669375,243,8.75838327515506e-06,0.000195538463291026,0,22.3561455681211,42798.9046728006,636.738984881485,2,27.5314432144165,1.15363273627008,595.337677060988
273,22.7915076471144,32.148564295615,20.7032847634938,368.226129032258,273,1.13834342451409e-05,0.0001892307709268,0,22.8919488722278,43054.3683484703,642.589854526106,2,27.4700359713647,1.21406412821624,622.674863022833
304,23.3523622512818,33.0875659942627,20.3183118060406,368.4415625,304,1.71803275139065e-05,0.000195538463291026,0,23.1885061990647,43336.4445042425,786.215715705201,2,28.2199641227722,1.33221341960598,761.613172596137
334,23.3520328644784,33.0066989037298,18.9919560475384,369.717741935484,334,2.41905892902202e-05,0.0001892307709268,0,23.4228533344884,43594.024850437,784.495900118494,2,28.1793658841041,1.33120806383029,750.951336163376
365,23.1644807815552,31.7076574325562,17.5446712201018,371.19375,365,4.66491658302027e-05,0.000195538463291026,0.00333333341404796,23.1606710797265,43759.0855600724,698.551375644702,2,27.4360691070557,1.43536771694198,761.11737350907
396,22.1128602981568,30.7374979019165,17.3127882271168,372.4896875,31,7.30218864571111e-05,0.0001563626382459,0,22.4676346824283,43759.0855600724,484.011179943003,2,26.4251791000366,1.10384221957065,556.165229500825
424,22.736481975687,30.3838029532597,17.1102555517645,373.176896551724,59,0.000107623118383688,0.000141230770028554,0,22.3833803674858,43601.8542087828,457.36144262408,2,26.5601424644734,1.24137483755576,470.325004237026
455,22.1019693374634,30.404874420166,16.7194167398491,374.09125,90,0.000117890440308427,0.0001563626382459,0,22.3092695236206,43354.6571697198,395.233890029005,2,26.2534218788147,1.13566981808981,378.603692895094
485,22.2357008411038,30.4002722955519,16.236873652373,374.990967741935,120,0.000128502952604085,0.000151318682173451,0,22.2997805359543,43072.6411441706,350.638273353901,2,26.3179865683279,0.970712911397699,362.404684612092
516,22.6958967208863,30.6128479003906,16.7176329869426,375.736875,151,0.000106648795976479,0.0001563626382459,0,22.4918797629221,42813.6495945508,384.217693760874,2,26.6543723106385,1.04811819086899,394.004876024779
546,21.5839900847404,30.8209866431452,17.1145153426683,375.527741935484,181,5.34231811859432e-05,0.000151318682173451,0,22.0163598501554,42643.5395060741,389.153039735359,2,26.2024883639428,0.957375677482736,362.434436352187
577,21.8287921905518,31.8835130691529,18.3723637299701,374.0571875,212,1.8862391528492e-05,0.0001563626382459,0,21.7192768641881,42636.5990642734,526.830479041036,2,26.8561526298523,1.07546776425443,461.908014334996
608,22.1337448120117,32.9110589981079,19.6444132370024,371.9175,243,1.22000274714961e-05,0.0001563626382459,0,21.8871479306902,42798.9046728006,641.164961333502,2,27.5224019050598,1.26650602085283,621.388018339829
638,23.4134795158141,33.0428838914441,20.6960808124176,370.785483870968,273,7.08552039244976e-06,0.000151318682173451,0,22.9867013582619,43054.3683484703,771.364339231071,2,28.228181703629,1.44152840365085,727.886187775143
